"","gender_person_1","gender_person_2","gender_person_3","gender_person_4","gender_person_5","gender_person_6","gender_person_7","gender_person_8","gender_person_9","gender_person_10","total_people_pictured","total_women","total_men","total_ambiguous","building_code","clean_img_name"
"236",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4059"
"237",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4059"
"238",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4059"
"239",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4059"
"240",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4059"
"241",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4059"
"242",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4059"
"243",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4059"
"244",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4060"
"245",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4060"
"246",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4060"
"247",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4060"
